txn_id,property_id,date,account_code,account_name,category,amount,description
T-50000,P001,2025-05-13,4100,Base Rent Income,Revenue,359243,Base Rent Income — 2025-05
T-50001,P001,2025-05-05,4200,CAM Recovery Income,Revenue,52892,CAM Recovery Income — 2025-05
T-50002,P001,2025-05-03,4300,Other Income,Revenue,3921,Other Income — 2025-05
T-50003,P001,2025-05-09,6500,Management Fee Expense,OpEx,-668,Management Fees — 2025-05
T-50004,P001,2025-05-07,6200,Utilities Expense,OpEx,-8344,Utilities — 2025-05
T-50005,P001,2025-05-01,6200,Utilities Expense,OpEx,-3209,Utilities — 2025-05
T-50006,P001,2025-05-16,6600,Landscaping Expense,OpEx,-10542,Landscaping — 2025-05
T-50007,P001,2025-05-16,6200,Utilities Expense,OpEx,-5876,Utilities — 2025-05
T-50008,P001,2025-05-21,6100,Repairs & Maintenance Expense,OpEx,-2692,Repairs & Maintenance — 2025-05
T-50009,P001,2025-05-05,6800,Admin Expense,OpEx,-906,Administrative — 2025-05
T-50010,P001,2025-05-16,6100,Repairs & Maintenance Expense,OpEx,-5866,Repairs & Maintenance — 2025-05
T-50011,P001,2025-05-14,6100,Repairs & Maintenance Expense,OpEx,-7070,Repairs & Maintenance — 2025-05
T-50012,P001,2025-06-28,4100,Base Rent Income,Revenue,387799,Base Rent Income — 2025-06
T-50013,P001,2025-06-16,4200,CAM Recovery Income,Revenue,59726,CAM Recovery Income — 2025-06
T-50014,P001,2025-06-25,4300,Other Income,Revenue,1921,Other Income — 2025-06
T-50015,P001,2025-06-09,6400,Property Tax Expense,OpEx,-7035,Property Taxes — 2025-06
T-50016,P001,2025-06-28,6300,Insurance Expense,OpEx,-5751,Insurance — 2025-06
T-50017,P001,2025-06-01,6400,Property Tax Expense,OpEx,-5929,Property Taxes — 2025-06
T-50018,P001,2025-06-25,6100,Repairs & Maintenance Expense,OpEx,-606,Repairs & Maintenance — 2025-06
T-50019,P001,2025-06-07,6500,Management Fee Expense,OpEx,-8674,Management Fees — 2025-06
T-50020,P001,2025-06-09,6700,Security Expense,OpEx,-540,Security — 2025-06
T-50021,P001,2025-06-18,6700,Security Expense,OpEx,-4298,Security — 2025-06
T-50022,P001,2025-06-23,6400,Property Tax Expense,OpEx,-2626,Property Taxes — 2025-06
T-50023,P001,2025-06-10,6500,Management Fee Expense,OpEx,-8035,Management Fees — 2025-06
T-50024,P001,2025-06-02,6700,Security Expense,OpEx,-537,Security — 2025-06
T-50025,P001,2025-07-09,4100,Base Rent Income,Revenue,384916,Base Rent Income — 2025-07
T-50026,P001,2025-07-22,4200,CAM Recovery Income,Revenue,52863,CAM Recovery Income — 2025-07
T-50027,P001,2025-07-10,4300,Other Income,Revenue,4661,Other Income — 2025-07
T-50028,P001,2025-07-15,6800,Admin Expense,OpEx,-6590,Administrative — 2025-07
T-50029,P001,2025-07-14,6600,Landscaping Expense,OpEx,-5647,Landscaping — 2025-07
T-50030,P001,2025-07-28,6300,Insurance Expense,OpEx,-1225,Insurance — 2025-07
T-50031,P001,2025-07-04,6100,Repairs & Maintenance Expense,OpEx,-2792,Repairs & Maintenance — 2025-07
T-50032,P001,2025-07-07,6800,Admin Expense,OpEx,-8014,Administrative — 2025-07
T-50033,P001,2025-07-02,6800,Admin Expense,OpEx,-4577,Administrative — 2025-07
T-50034,P001,2025-07-02,6300,Insurance Expense,OpEx,-2252,Insurance — 2025-07
T-50035,P001,2025-07-10,6800,Admin Expense,OpEx,-5748,Administrative — 2025-07
T-50036,P001,2025-07-20,6600,Landscaping Expense,OpEx,-6174,Landscaping — 2025-07
T-50037,P001,2025-07-03,6600,Landscaping Expense,OpEx,-4839,Landscaping — 2025-07
T-50038,P001,2025-07-28,6400,Property Tax Expense,OpEx,-7353,Property Taxes — 2025-07
T-50039,P001,2025-08-16,4100,Base Rent Income,Revenue,379271,Base Rent Income — 2025-08
T-50040,P001,2025-08-21,4200,CAM Recovery Income,Revenue,61417,CAM Recovery Income — 2025-08
T-50041,P001,2025-08-02,4300,Other Income,Revenue,6841,Other Income — 2025-08
T-50042,P001,2025-08-14,6600,Landscaping Expense,OpEx,-5850,Landscaping — 2025-08
T-50043,P001,2025-08-13,6700,Security Expense,OpEx,-4320,Security — 2025-08
T-50044,P001,2025-08-18,6200,Utilities Expense,OpEx,-8503,Utilities — 2025-08
T-50045,P001,2025-08-14,6600,Landscaping Expense,OpEx,-7781,Landscaping — 2025-08
T-50046,P001,2025-08-16,6300,Insurance Expense,OpEx,-2107,Insurance — 2025-08
T-50047,P001,2025-08-18,6200,Utilities Expense,OpEx,-885,Utilities — 2025-08
T-50048,P001,2025-09-14,4100,Base Rent Income,Revenue,345703,Base Rent Income — 2025-09
T-50049,P001,2025-09-03,4200,CAM Recovery Income,Revenue,52835,CAM Recovery Income — 2025-09
T-50050,P001,2025-09-04,4300,Other Income,Revenue,5240,Other Income — 2025-09
